,1.0,2.0,3.0,accuracy,macro avg,weighted avg
precision,0.9619883040935673,0.9111111111111111,0.9230769230769231,0.9530516431924883,0.9320587794272006,0.9521594554581951
recall,0.982089552238806,0.7592592592592593,0.972972972972973,0.9530516431924883,0.9047739281570127,0.9530516431924883
f1-score,0.9719350073855244,0.8282828282828282,0.9473684210526315,0.9530516431924883,0.9158620855736613,0.9515918586393681
support,335.0,54.0,37.0,0.9530516431924883,426.0,426.0
