,1.0,2.0,3.0,accuracy,macro avg,weighted avg
precision,0.9550898203592815,0.7222222222222222,0.8947368421052632,0.92018779342723,0.8573496282289224,0.9203294670851034
recall,0.9522388059701492,0.7222222222222222,0.918918918918919,0.92018779342723,0.8644599823704301,0.92018779342723
f1-score,0.953662182361734,0.7222222222222222,0.9066666666666667,0.92018779342723,0.860850357083541,0.9202429524832102
support,335.0,54.0,37.0,0.92018779342723,426.0,426.0
